City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,eraan,9.0629,117.7016,297.87,75,100,1.09,PH,1710700247
160,lerwick,60.1545,-1.1494,280.15,95,100,12.86,GB,1710700247
161,manokwari,-0.8667,134.0833,298.99,84,100,2.9,ID,1710700203
162,hammerfest,70.6634,23.6821,268.4,93,75,4.12,NO,1710700249
163,mejit,10.2753,170.8646,299.83,77,100,6.99,MH,1710700250
164,boysun,38.2061,67.1986,284.64,32,100,1.89,UZ,1710700251
165,middlesboro,36.6084,-83.7166,290.72,39,100,3.6,US,1710700252
166,severo-yeniseyskiy,60.3725,93.0408,265.69,91,100,4.02,RU,1710700253
167,khandyga,62.6667,135.6,245.3,100,100,1.2,RU,1710700254
168,tazovsky,67.4667,78.7,266.38,88,100,8.56,RU,1710700255
169,puerto santa,-8.9906,-78.6456,297.78,74,91,4.0,PE,1710700256
170,myaydo,19.3667,95.2167,302.0,30,100,0.65,MM,1710700256
171,tiksi,71.6872,128.8694,246.49,98,85,2.89,RU,1710700257
172,port lincoln,-34.7333,135.8667,290.9,90,57,4.5,AU,1710699981
173,changping,40.2186,116.2197,276.95,24,14,1.39,CN,1710700260
174,crane,31.3974,-102.3501,286.05,70,100,3.83,US,1710700261
175,flying fish cove,-10.4217,105.6791,297.97,88,11,4.12,CX,1710700262
176,chulym,55.0997,80.9572,271.42,97,100,6.07,RU,1710700263
177,kayangel,8.0823,134.7173,300.88,78,12,7.68,PW,1710700264
178,afaahiti,-17.75,-149.2833,302.08,78,60,1.4,PF,1710700265
179,chalus,36.655,51.4204,284.85,87,40,2.06,IR,1710700266
180,murghob,38.1702,73.9667,259.69,60,12,2.71,TJ,1710700268
181,plouzane,48.3833,-4.6167,285.33,87,0,4.12,FR,1710700269
182,ilhabela,-23.7781,-45.3581,302.58,77,70,1.16,BR,1710700270
183,vernon,50.2581,-119.2691,286.82,50,10,1.03,CA,1710700077
184,georgetown,5.4112,100.3354,301.11,85,20,1.54,MY,1710699999
185,evanston,42.0411,-87.6901,278.25,45,75,7.2,US,1710700113
186,pariaman,-0.619,100.12,299.18,88,84,1.78,ID,1710700054
187,bamboo flat,11.7,92.7167,298.77,74,0,2.14,IN,1710700274
188,karaton,-6.3424,106.1045,296.15,94,26,2.2,ID,1710700275
189,kailua-kona,19.6406,-155.9956,298.43,77,0,0.89,US,1710700276
190,ar ruseris,11.8659,34.3869,309.07,27,3,3.23,SD,1710700277
191,novo aripuana,-5.1206,-60.3797,300.42,83,100,1.48,BR,1710700278
192,toliara,-23.35,43.6667,299.94,78,33,4.67,MG,1710700279
193,keflavik,64.0049,-22.5624,280.1,87,100,7.72,IS,1710700280
194,el playon,7.4713,-73.2031,307.3,45,44,2.6,CO,1710700281
195,leamington,42.0549,-82.6062,280.3,11,100,4.02,CA,1710700208
196,derbent,42.0678,48.2899,281.01,82,60,3.23,RU,1710700285
197,zhanibek,49.4167,46.85,273.73,99,100,3.13,KZ,1710700287
198,minas de marcona,-15.2119,-75.1103,297.27,63,54,5.64,PE,1710700289
199,jayapura,-2.5333,140.7,298.81,90,98,2.33,ID,1710700291
200,weno,7.4515,151.8468,300.4,81,100,5.9,FM,1710700293
201,utrik,11.2278,169.8474,300.24,80,100,4.72,MH,1710700295
202,kerikeri,-35.2268,173.9474,285.32,89,0,1.7,NZ,1710700297
203,lebu,-37.6167,-73.65,288.52,64,15,7.45,CL,1710700246
204,burang,30.25,81.1667,261.83,90,100,1.4,CN,1710700299
205,okha,53.5739,142.9478,259.28,98,100,2.29,RU,1710700301
206,saudarkrokur,65.7461,-19.6394,274.11,94,85,2.31,IS,1710700303
207,strelka,58.0728,93.0344,272.76,96,100,4.89,RU,1710700304
208,tieli,46.95,128.05,262.04,96,23,0.82,CN,1710700305
209,blenheim,-41.516,173.9528,282.99,83,4,1.99,NZ,1710700306
210,broken hill,-31.95,141.4333,294.18,70,3,4.47,AU,1710700272
211,la ronge,55.1001,-105.2842,265.29,49,40,3.6,CA,1710700308
212,port alfred,-33.5906,26.891,293.25,80,100,1.79,ZA,1710700310
213,udachny,66.4167,112.4,258.4,91,97,3.16,RU,1710700257
214,meadow lakes,61.6247,-149.6011,274.61,82,100,0.0,US,1710700304
215,zag,46.9441,99.165,250.49,91,23,2.41,MN,1710700313
216,bonthe,7.5264,-12.505,300.99,82,0,4.32,SL,1710700314
217,vel'sk,61.0701,42.0983,271.08,96,100,4.92,RU,1710700314
218,remire-montjoly,4.9167,-52.2667,305.17,62,20,8.75,GF,1710700315
219,floro,61.5996,5.0328,279.13,39,75,9.26,NO,1710700316
220,riverton,40.5219,-111.9391,286.73,39,0,3.13,US,1710700091
221,pisco,-13.7,-76.2167,299.27,73,0,4.12,PE,1710700318
222,hamilton,39.1834,-84.5333,284.4,37,0,7.2,US,1710700066
